region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
MEA,Malta,43707.53906,52.0,6.0,4.0,9.5,18.0,12.0,2.6713207547169815,4.77203125,11.419939176078948,Yes,Yes,Yes,Yes,,502653,16607.0,1258426.0,7643.0,36523.0,106235.0,23418.0,348841.1875,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,96.65,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,0.37,47.84269841269842,54.79139928529412,13.236199999999998,6.69,89.59,3.35,38.025,
EAS,Myanmar,1093.788086,41.734392369375,4.756172671654971,4.276837596482353,18.418010410914285,15.277361084602273,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,Yes,Yes,Yes,,46095464,90015688.23649433,57779234.47121622,55000.0,6934516.75975678,54750.0,648.2,4677306.529,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,60.0,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,8.0,17.371565905725806,44.35626678571428,92.0,38.025,Household
ECS,Montenegro,20752.62109,33.82,8.97,2.9,19.46,13.72,18.42,2.6713207547169815,2.7,11.419939176078948,Yes,Yes,Yes,No,,622227,90015688.23649433,92228.0,6200.0,3819.21,453791.52,2331.4,329780.3125,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,75.9,96.99,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,91.57,13.236199999999998,5.42,44.35626678571428,3.01,38.025,
EAS,Mongolia,10940.41504,22.7,4.756172671654971,4.276837596482353,50.1,12.7,14.5,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,Yes,,3027398,90015688.23649433,126300.0,14000.0,6934516.75975678,81400.0,967.25,2900000.0,100.0,38.385555555555555,50.99739130434783,40.0,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,70.0,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,93.5,13.236199999999998,17.371565905725806,44.35626678571428,6.5,38.025,
EAS,Northern Mariana Islands,60955.72656,43.6,5.5,10.0,9.3,10.9,16.5,4.2,4.77203125,11.419939176078948,,Yes,Yes,,Yes,54036,90015688.23649433,57779234.47121622,242295.0434065934,6934516.75975678,315096014.47525,3399482.6000285717,32761.4145,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,36.0,44.35626678571428,64.0,38.025,
SSF,Mozambique,1217.09021,60.0,4.756172671654971,4.276837596482353,15.0,25.0,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,Yes,Yes,,,27212382,90015688.23649433,57779234.47121622,17000.0,6934516.75975678,315096014.47525,3399482.6000285717,2500000.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,52.5,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,99.0,13.236199999999998,1.0,44.35626678571428,32.822129772340425,38.025,
SSF,Mauritania,4783.635742,4.8,4.0,4.2,59.7,7.3,20.0,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,No,,3506288,90015688.23649433,57779234.47121622,5100.0,6934516.75975678,315096014.47525,3399482.6000285717,454000.0,100.0,38.385555555555555,5.0,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,30.0,69.46555555555557,0.2,8.138041567499998,37.3,28.434393906458336,47.84269841269842,54.7,13.236199999999998,8.0,44.35626678571428,32.822129772340425,38.025,
SSF,Mauritius,20646.93359,64.0,2.8,4.276837596482353,8.0,13.0,12.4,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,Yes,,1263473,90015688.23649433,57779234.47121622,11000.0,17000.0,315096014.47525,3399482.6000285717,438000.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,98.0,83.73150685,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,9.0,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,91.0,32.822129772340425,38.025,
SSF,Malawi,999.4413452,41.734392369375,4.756172671654971,4.276837596482353,18.418010410914285,15.277361084602273,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,,,,,16577147,90015688.23649433,57779234.47121622,9500.0,6934516.75975678,315096014.47525,3399482.6000285717,1297844.48,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
EAS,Malaysia,23906.26563,46.0,3.0,3.0,9.0,14.0,15.0,3.0,7.0,11.419939176078948,No,Yes,Yes,Yes,Yes,30228016,42000000.0,57779234.47121622,280000.0,2918478.0,831835.0,19500.0,12982685.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,95.0,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,1.0,42.213099385581394,28.434393906458336,71.5,54.79139928529412,13.236199999999998,17.5,10.0,32.822129772340425,38.025,Landfill
